# Global warming through 2050 consistent with each TEP portfolio. Based on historical TEP generation fraction. Created 2020-06-23 02:58:34Z 
portfolio,2050
P16bL1M1E2,2.1265017150393493
P16aL1M1E1,2.1578790038810722
P01bL1M1E1,2.350600810599458
P08aL1M1E2,2.0874494842170095
P02bL3M3E2,2.3967160993010195
P16bL6M2E1,2.111304389884207
P08bL1M1E1,2.3370155507767008
P06aL1M1E1,2.401356375419077
P06aL3M3E2,2.5250664959077898
P02bL1M1E1,2.196014597629244
P10aL1M1E1,2.360922241253279
P09aL1M1E1,2.1731882791118737
P06cL1M1E1,2.3655085679259833
P08aL1M2E1,2.0572857552660326
P02dL1M1E1,2.1944957886932617
P09bL1M1E1,2.184261038561492
P02bL6M2E1,2.2065108175737778
P02aL1M1E1,2.2689054907667843
P01aL1M1E1,2.4506698525805324
P06bL1M1E1,2.3183497537354048
P08aL1M1E1,2.0816241499924075
P06aL6M2E1,2.439452752947112
P02cL1M1E1,2.153216002833104
P16bL1M1E1,2.122212467526273
