# Global warming through 2050 consistent with each TEP portfolio. Based on historical TEP emissions fraction. Created 2020-06-24 16:24:52Z 
portfolio,2050
P01bL1M1E1,1.960668806194207
P02eL1M1E1,1.8690387240894546
P08bL1M1E1,1.9506882077645356
P06aL1M1E1,1.9940699980919185
P05aL1M1E1,1.8606201647332459
P02bL1M1E1,1.8716825884688026
P10aL1M1E1,1.9706982853142698
P02dL1M1E1,1.84852093733207
P09bL1M1E1,1.8638337909289742
P17aL1M1E1,1.7973198994167705
P02aL1M1E1,1.8931661080332705
P01aL1M1E1,1.9897660184847938
P08aL1M1E1,1.8026164379020522
P02cL1M1E1,1.8505166380839773
P16bL1M1E1,1.8296637125972872
