# TEP carbon budget in units of short tons. Created 2020-06-04 16:08:30Z 
estimate_generation_based,1.5,2.0,2.5
best,31843524.273646455,92425318.14676896,165503477.2217056
low,48681839.94156588,127005072.15823849,221484242.50404373
high,21216197.813305464,70600668.81451304,130171803.91850285
